TIME,TYPE,MESSAGE
LOG FILE INTIALIZED
16:14:31,ENCODE,Encoding complete!
16:15:05,INIT,HAP-PY v0.0.1 started
16:15:06,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:15:07,ENCODE,Total number of files to encode: 1
16:15:07,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:15:07,ENCODE,Encoding progress: 25%
16:15:08,ENCODE,Encoding complete!
16:16:05,INIT,HAP-PY v0.0.1 started
16:16:07,INIT,HAP-PY v0.0.1 started
16:16:09,INIT,HAP-PY v0.0.1 started
16:16:12,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:16:12,ENCODE,Total number of files to encode: 1
16:16:12,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:16:13,ENCODE,Encoding progress: 25%
16:16:14,ENCODE,Encoding complete!
16:17:24,INIT,HAP-PY v0.0.1 started
16:17:26,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:17:27,ENCODE,Total number of files to encode: 1
16:17:29,ENCODE,Total number of files to encode: 1
16:17:30,ENCODE,Total number of files to encode: 1
16:17:34,ENCODE,Total number of files to encode: 1
16:18:04,ENCODE,Total number of files to encode: 1
16:18:04,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:18:04,ENCODE,Encoding progress: 25%
16:18:05,ENCODE,Encoding complete!
16:22:45,INIT,HAP-PY v0.0.1 started
16:22:47,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:22:47,ENCODE,Total number of files to encode: 1
16:23:07,INIT,HAP-PY v0.0.1 started
16:23:08,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:23:08,ENCODE,Total number of files to encode: 1
16:23:14,INIT,HAP-PY v0.0.1 started
16:23:19,INIT,HAP-PY v0.0.1 started
16:23:20,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:23:21,ENCODE,Total number of files to encode: 1
16:23:21,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:23:22,ENCODE,Encoding progress: 25%
16:23:22,ENCODE,Encoding complete!
16:24:48,INIT,HAP-PY v0.0.1 started
16:24:50,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:24:50,ENCODE,Total number of files to encode: 1
